DAGS,MED
23.1.2015,20368.00
26.1.2015,20353.00
27.1.2015,20325.00
28.1.2015,20284.00
29.1.2015,20277.00
30.1.2015,20254.00
2.2.2015,20247.00
3.2.2015,20220.00
4.2.2015,20203.00
5.2.2015,20173.00
6.2.2015,20172.00
9.2.2015,20127.00
10.2.2015,20124.00
11.2.2015,20120.00
12.2.2015,20130.00
13.2.2015,20118.00
16.2.2015,20138.00
17.2.2015,20154.00
18.2.2015,20155.00
19.2.2015,20142.00
20.2.2015,20133.00
23.2.2015,20093.00
24.2.2015,20111.00
25.2.2015,20085.00
26.2.2015,20036.00
27.2.2015,20007.00
2.3.2015,20014.00
3.3.2015,20037.00
4.3.2015,20004.00
5.3.2015,20009.00
6.3.2015,19950.00
9.3.2015,19955.00
10.3.2015,19916.00
11.3.2015,19782.00
12.3.2015,19793.00
13.3.2015,19754.00
16.3.2015,19740.00
17.3.2015,19728.00
18.3.2015,19766.00
19.3.2015,19812.00
20.3.2015,19843.00
23.3.2015,19983.00
24.3.2015,19909.00
25.3.2015,19859.00
26.3.2015,19866.00
27.3.2015,19806.00
30.3.2015,19789.00
31.3.2015,19711.00
1.4.2015,19746.00
